SCRIP,High Price,Low Price,EnaBle,Comment
HDFCBANK.NS,1646.6,1627.15,TRUE,Price at Weekly resistance if it Breaks or retracement will accumalate
^CNXAUTO,,,,
^CNXFIN,,,,
^CNXFMCG,,,,
^CNXIT,,,,
^CNXMETAL,,,,
^CNXMEDIA,,,,
^CNXENERGY,,,,
^CNXPHARMA,,,,
^CNXPSUBANK,,,,
^CNXREALTY,,,,
^CNXCONSUM,,,,
