SCRIP,High Price,Low Price,EnaBle,Comment
^NSEI,25317,25180,TRUE,-
TATAMOTORS.NS,686.5,672,TRUE,INTRA DAY
HDFCBANK.NS,1981.3,1973.1,TRUE,INTRA DAY
SBIN.NS,803.8,793.65,TRUE,INTRA DAY
TATASTEEL.NS,156.97,154.34,TRUE,INTRA DAY
HINDALCO.NS,676.3,665.35,TRUE,-
JSWSTEEL.NS,1027.8,1005.55,TRUE,-
CHAMBLFERT.NS,569.5,557.55,TRUE,-
TITAN.NS,3665,3506.1,TRUE,-
INDHOTEL.NS,786.9,771,TRUE,-
MANAPPURAM.NS,274.35,268.05,TRUE,-
^NSEI,25317,25180,TRUE,-
